,Problem,Length,No-queries,Cost-before,Cost-after,Time
0,blocks-instance-1,7,7,4,6,5.107290
1,blocks-instance-2,3,3,8,8,2.834490
2,blocks-instance-3,7,6,6,6,4.939768
3,blocks-instance-4,4,4,10,12,3.481641
4,blocks-instance-5,8,6,8,10,5.365176
5,driverlog-instance-1,21,0,6,8,1.023638
6,driverlog-instance-2,24,0,17,9,1.248813
7,driverlog-instance-3,26,0,12,12,1.083766
8,driverlog-instance-4,23,0,13,13,1.183210
9,driverlog-instance-5,23,10,16,21,22.920944
10,elevator-instance-1,25,0,7,11,0.882991
11,elevator-instance-2,24,0,8,11,0.879529
12,elevator-instance-3,25,11,7,11,12.210537
13,elevator-instance-4,25,0,8,10,0.887367
14,elevator-instance-5,24,1,7,10,9.612772
15,logistics-instance-1,12,12,14,20,8.386562
16,logistics-instance-2,13,0,15,13,0.959697
17,logistics-instance-3,13,0,10,16,0.960366
18,logistics-instance-4,12,12,25,27,8.941425
19,logistics-instance-5,12,9,17,17,7.929756
20,rover-instance-1,46,0,7,10,1.354162
21,rover-instance-2,42,0,5,8,1.356695
22,rover-instance-3,55,0,7,11,1.423796
23,rover-instance-4,55,5,5,8,25.715981
24,rover-instance-5,69,0,19,22,6.794348

